,Individual_ID,Timestamp,Latitude,Longitude,geometry,hour
201330,OST097,2025-12-12 20:49:04.646217+00:00,-20.847317,16.604275,POINT (666915.7614360942 7693918.283835942),2025-12-12 20:00:00+00:00
201332,OST097,2025-12-12 21:48:32.271147+00:00,-20.842112,16.600566,POINT (666535.5145883376 7694498.3366661435),2025-12-12 21:00:00+00:00
201334,OST097,2025-12-12 22:48:35.934392+00:00,-20.838484,16.606458,POINT (667152.6926540951 7694893.86133066),2025-12-12 22:00:00+00:00
201336,OST097,2025-12-12 23:48:35.952004+00:00,-20.842622,16.612121,POINT (667737.4603357168 7694429.879525587),2025-12-12 23:00:00+00:00
201338,OST097,2025-12-13 00:49:06.022543+00:00,-20.848736,16.611338,POINT (667649.1994046194 7693753.853170251),2025-12-13 00:00:00+00:00
201343,OST097,2025-12-13 16:49:21.486613+00:00,-20.842455,16.611586,POINT (667681.9688504317 7694448.924474085),2025-12-13 16:00:00+00:00
201345,OST097,2025-12-13 17:49:12.007183+00:00,-20.844444,16.60808,POINT (667314.9056815424 7694232.383690029),2025-12-13 17:00:00+00:00
201347,OST097,2025-12-13 18:48:41.265219+00:00,-20.848486,16.602973,POINT (666778.9802305552 7693790.221564717),2025-12-13 18:00:00+00:00
201349,OST097,2025-12-13 19:48:48.998143+00:00,-20.851506,16.607129,POINT (667208.1316997743 7693451.583856801),2025-12-13 19:00:00+00:00
201351,OST097,2025-12-13 20:49:15.305931+00:00,-20.848797,16.612164,POINT (667735.0887170725 7693746.239441363),2025-12-13 20:00:00+00:00
201353,OST097,2025-12-13 21:48:52.166214+00:00,-20.840812,16.61501,POINT (668040.1239395153 7694627.239933064),2025-12-13 21:00:00+00:00
201355,OST097,2025-12-13 22:49:04.264435+00:00,-20.837133,16.613112,POINT (667846.6799775562 7695036.498839188),2025-12-13 22:00:00+00:00
201364,OST097,2025-12-15 00:49:24.019915+00:00,-20.843495,16.607244,POINT (667228.9546541686 7694338.3101435695),2025-12-15 00:00:00+00:00
201367,OST097,2025-12-15 02:49:23.273282+00:00,-20.846615,16.598645,POINT (666330.6490623439 7694001.8268284425),2025-12-15 02:00:00+00:00
201368,OST097,2025-12-15 03:49:07.254265+00:00,-20.849667,16.604796,POINT (666967.3852206978 7693657.590310181),2025-12-15 03:00:00+00:00
201370,OST097,2025-12-15 18:49:39.218287+00:00,-20.845792,16.606507,POINT (667149.7191450304 7694084.789900559),2025-12-15 18:00:00+00:00
201373,OST097,2025-12-15 20:49:52.259328+00:00,-20.839787,16.61509,POINT (668049.5877700533 7694740.627754381),2025-12-15 20:00:00+00:00
201375,OST097,2025-12-15 21:49:44.355617+00:00,-20.836204,16.615797,POINT (668127.1457707679 7695136.541053468),2025-12-15 21:00:00+00:00
201377,OST097,2025-12-15 23:17:42.550955+00:00,-20.836648,16.614631,POINT (668005.3039715004 7695088.605762396),2025-12-15 23:00:00+00:00
201382,OST097,2025-12-16 01:49:40.453986+00:00,-20.842222,16.60679,POINT (667183.114541373 7694479.707255937),2025-12-16 01:00:00+00:00
201384,OST097,2025-12-16 20:49:54.263278+00:00,-20.849639,16.606752,POINT (667170.9638665962 7693658.659090356),2025-12-16 20:00:00+00:00
201386,OST097,2025-12-16 21:49:24.345721+00:00,-20.848814,16.611319,POINT (667647.1357371928 7693745.2380777765),2025-12-16 21:00:00+00:00
201388,OST097,2025-12-16 22:48:57.602348+00:00,-20.843677,16.608764,POINT (667386.9360223403 7694316.582071891),2025-12-16 22:00:00+00:00
201390,OST097,2025-12-16 23:48:58.317298+00:00,-20.841591,16.614245,POINT (667959.6459796326 7694541.800143546),2025-12-16 23:00:00+00:00
201392,OST097,2025-12-17 00:49:53.985113+00:00,-20.838446,16.609682,POINT (667488.2597023404 7694894.717257225),2025-12-17 00:00:00+00:00
201394,OST097,2025-12-17 01:49:27.122094+00:00,-20.840143,16.602844,POINT (666774.7521917734 7694713.952819894),2025-12-17 01:00:00+00:00
201398,OST097,2025-12-17 02:48:58.387955+00:00,-20.84345,16.599773,POINT (666451.5165829402 7694351.036106834),2025-12-17 02:00:00+00:00
201402,OST097,2025-12-17 22:49:45.380781+00:00,-20.846266,16.603785,POINT (666865.9289827284 7694035.141234185),2025-12-17 22:00:00+00:00
201404,OST097,2025-12-17 23:49:34.924892+00:00,-20.842275,16.605404,POINT (667038.8172594735 7694475.278933078),2025-12-17 23:00:00+00:00
201406,OST097,2025-12-18 00:49:04.304664+00:00,-20.839417,16.610551,POINT (667577.6223296782 7694786.3197896965),2025-12-18 00:00:00+00:00
201408,OST097,2025-12-18 01:49:05.279062+00:00,-20.836357,16.614944,POINT (668038.2017473417 7695120.493888937),2025-12-18 01:00:00+00:00
201410,OST097,2025-12-18 02:49:28.246204+00:00,-20.836478,16.615836,POINT (668130.9002533468 7695106.167506546),2025-12-18 02:00:00+00:00
201425,OST097,2025-12-18 20:49:52.316427+00:00,-20.843251,16.612718,POINT (667798.8915812251 7694359.624650028),2025-12-18 20:00:00+00:00
201427,OST097,2025-12-18 21:49:35.276691+00:00,-20.836763,16.614824,POINT (668025.2623086522 7695075.673430119),2025-12-18 21:00:00+00:00
201430,OST097,2025-12-18 23:49:51.003435+00:00,-20.836188,16.622823,POINT (668858.3807278997 7695130.9595291335),2025-12-18 23:00:00+00:00
201432,OST097,2025-12-19 00:49:53.297978+00:00,-20.833515,16.629954,POINT (669603.5224819751 7695419.376770256),2025-12-19 00:00:00+00:00
201434,OST097,2025-12-19 01:49:10.297485+00:00,-20.834457,16.630982,POINT (669709.4558207373 7695314.010177642),2025-12-19 01:00:00+00:00
201436,OST097,2025-12-19 02:49:09.268222+00:00,-20.832308,16.635185,POINT (670149.2974703846 7695547.4784866255),2025-12-19 02:00:00+00:00
201453,OST097,2025-12-19 18:49:54.295408+00:00,-20.832286,16.631875,POINT (669804.8297177237 7695553.407854171),2025-12-19 18:00:00+00:00
201456,OST097,2025-12-19 20:49:15.274013+00:00,-20.832359,16.61848,POINT (668410.6511183493 7695559.393185473),2025-12-19 20:00:00+00:00
201458,OST097,2025-12-19 21:49:18.243631+00:00,-20.83422,16.613293,POINT (667868.7476130881 7695358.7897587),2025-12-19 21:00:00+00:00
201460,OST097,2025-12-19 22:49:36.348239+00:00,-20.835289,16.608662,POINT (667385.5984898614 7695245.268860649),2025-12-19 22:00:00+00:00
201464,OST097,2025-12-19 23:49:18.272793+00:00,-20.841239,16.610493,POINT (667569.5686869157 7694584.678286955),2025-12-19 23:00:00+00:00
201466,OST097,2025-12-20 00:49:14.273945+00:00,-20.844054,16.608053,POINT (667312.5271558596 7694275.586124517),2025-12-20 00:00:00+00:00
201468,OST097,2025-12-20 20:50:06.658072+00:00,-20.848881,16.606649,POINT (667161.0830411676 7693742.679353902),2025-12-20 20:00:00+00:00
201469,OST097,2025-12-20 21:49:16.274793+00:00,-20.850899,16.603939,POINT (666876.8437753716 7693522.092757192),2025-12-20 21:00:00+00:00
201471,OST097,2025-12-20 22:49:19.363897+00:00,-20.849591,16.599967,POINT (666464.9480979468 7693671.007110601),2025-12-20 22:00:00+00:00
201473,OST097,2025-12-20 23:49:20.315502+00:00,-20.847248,16.597978,POINT (666260.5419710624 7693932.440993004),2025-12-20 23:00:00+00:00
201475,OST097,2025-12-21 00:49:37.104742+00:00,-20.846689,16.597937,POINT (666256.8896755915 7693994.366398122),2025-12-21 00:00:00+00:00
201477,OST097,2025-12-21 01:49:20.245932+00:00,-20.841702,16.596388,POINT (666101.1678557873 7694548.041906901),2025-12-21 01:00:00+00:00
201479,OST097,2025-12-21 02:49:29.242839+00:00,-20.835717,16.596209,POINT (666089.1076532723 7695210.783795862),2025-12-21 02:00:00+00:00
201481,OST097,2025-12-21 03:49:38.255596+00:00,-20.835868,16.600563,POINT (666542.0734492842 7695189.570146974),2025-12-21 03:00:00+00:00
201485,OST097,2025-12-21 20:49:54.033696+00:00,-20.833729,16.597813,POINT (666258.2234166296 7695429.205875028),2025-12-21 20:00:00+00:00
201491,OST097,2025-12-22 13:50:16.103373+00:00,-20.830682,16.597519,POINT (666230.9712625413 7695766.821233921),2025-12-22 13:00:00+00:00
201492,OST097,2025-12-22 14:50:27.176069+00:00,-20.829891,16.596455,POINT (666121.102280542 7695855.485083146),2025-12-22 14:00:00+00:00
201494,OST097,2025-12-22 15:49:54.204457+00:00,-20.825938,16.597432,POINT (666227.124295539 7696292.085500396),2025-12-22 15:00:00+00:00
201497,OST097,2025-12-22 19:49:55.307141+00:00,-20.829416,16.597228,POINT (666202.0748131052 7695907.27143687),2025-12-22 19:00:00+00:00
201514,OST097,2025-12-23 18:50:19.743716+00:00,-20.837964,16.595268,POINT (665988.7112404162 7694963.004788287),2025-12-23 18:00:00+00:00
